d(1~2),d(2~3),d(3~4),d(1~4),d(5~6),d(6~7),d(7~8),d(5~8),d(9~10),d(10~11),d(11~12),d(9~12),d(13~14),d(14~15),d(15~16),d(13~16),d(17~18),d(18~19),d(19~20),d(17~20),g(1~2),g(2~3),g(3~4),g(1~4),g(5~6),g(6~7),g(7~8),g(5~8),g(9~10),g(10~11),g(11~12),g(9~12),g(13~14),g(14~15),g(15~16),g(13~16),g(17~18),g(18~19),g(19~20),g(17~20),label
34.1321,25.0799,17.8045,65.2763,21.4009,26.1725,11.1803,21.9545,19.105,34.2345,8.4853,29.5466,16.2788,30.5941,7.6158,33.541,16.2788,21.1896,6.4031,27.6586,-1.6111,-12.5,0.7857,-10.8333,-1.3077,8.6667,-2,1.7273,-0.9286,8.5,-1,2.25,-0.1875,5,-0.4286,2,-0.1875,2.8571,-0.8,1.1667,0
34.4093,26.6833,18.0278,64.9384,21.4009,26.4764,12.083,23.8537,22.0227,37.4833,10.2956,31.305,18.9737,33.7343,8.9443,35.3553,18.4391,21.1896,7.0711,29,-1.4,-4.3333,0.6667,-5.8182,-1.3077,5.2,-2.2,1.5385,-0.8235,6.1667,-0.5556,2,-0.3333,4.7143,-0.5,1.8235,-0.2222,2.8571,-1,1.05,0
33.0151,26.9258,20.2485,71.3092,24.6982,29.2746,14.8661,25.0599,26.6271,38.6394,12.2066,30.0167,23.3452,36.6742,12.0416,33.121,22.2036,24.3516,11.7047,30.4138,-1.4211,-2.5,1.5455,-3.8333,-1.6154,7.25,-2.8,1.8333,-1.4667,5.4286,-1.4286,1.7333,-0.9412,5.1429,-1.125,1.8125,-0.7222,2.875,-2.75,0.9545,0
34,26.9258,22.0227,81.0432,31.3847,27.5136,18.4391,22.6716,34,37.108,15.2643,25.4951,28.4253,36.8782,13.4536,28.0179,24.7588,23.4094,12.2066,22.8035,-1.875,-3.7143,22,-3.5455,-2.4167,2.8889,-4.5,0.8824,-1.875,4,-1.625,1.1176,-1.2222,4.5,-0.9,1.4375,-1.0588,2.75,-1.4286,0.7778,0
36.2353,26.9258,21.0238,82.8734,29.0689,28.4429,16.1555,20.8087,30.5287,34.5254,13.4536,22.2036,30.2324,35.6931,13.4536,25,25.6125,23.7697,13.4164,23.6008,-1.8824,-2.5,-21,-2.7857,-2,5.6,-2.5,1.4167,-1.625,5.6667,-1.1111,1.3846,-1.4706,5,-1.1111,1.3333,-1.25,2.4444,-2,0.7368,0
32.6497,24.3311,21.8403,75.1332,25.0799,27.8927,13,20,28.2312,35.171,11.3137,20,19.8494,32.7567,8.544,26.0768,19.2094,21.5407,8.4853,22.0227,-1.9333,-6,3.5,-5.6923,-2.3,3.8571,-2.4,1.3333,-2.3636,3.7778,-1,1.3333,-0.8667,4.5714,-0.375,1.5714,-0.8,2.5,-1,0.8235,0
33.121,25.7099,17.72,73.0068,28.1603,14.8661,11.0454,19.6469,26.4197,34.9285,9.2195,22.0227,20,31.5753,8.9443,26.9258,19.2094,21.5407,8.4853,22.0227,-1.8125,-4.1667,3.4,-4.1765,-3.375,1.1,11,-0.2632,-1.7692,4.25,-0.8571,1.2143,-0.75,5.1667,-0.5,1.6429,-0.8,2.5,-1,0.8235,0
33.541,23.1948,18.868,69.4622,29.1204,22.8254,15.0333,19.3132,27.7308,34.7851,10,23.3452,21.9317,32.0156,8.6023,27.0185,20.6155,21.5407,9.2195,22.8035,-2,-7.6667,1.6,-8.625,-3.5,1.8182,-15,0.3889,-2.0833,3,-1.3333,0.9412,-0.9375,3.875,-0.7143,1.2353,-0.8125,2.5,-1.1667,0.7778,0
29.1548,20.3961,18.3848,63.1506,20.6155,23.7697,12.3693,24.8395,20.8087,32.3883,9.2195,25.5539,19.7231,29.6142,8.9443,27.4591,18.6011,21.1896,8.6023,23.3452,-1.6667,-5,2.4286,-5.1667,-1.2308,3.8333,-4,1.1875,-0.7059,6.4,-0.2222,1.6923,-0.5882,4.8333,-0.5,1.5333,-0.7333,2.8571,-1.4,0.9412,0
28.4253,20.6155,17.0294,56.2939,17,23.1948,9.8489,27.7849,19.105,29,7.6158,32.311,19.2354,28.0179,7.0711,34.5398,17,19.2354,5.831,26.6271,-1.2222,-4,1.1818,-4.5833,-0.5333,7.6667,-2.25,1.7143,-0.1053,0,-0.4286,2.5,0.1579,28,-0.1429,2.4615,0,6.3333,-0.6,1.4667,0
